Name,URL,Author,Price,Average Rating,Number of Ratings
Dog Man: Twenty Thousand Fleas Under the Sea: A Graphic Novel (Dog Man 11): From the Creator of Captain Underpants,https://www.amazon.com/Dog-Man-Thousand-Graphic-Underpants/dp/1338801910/ref=zg_bs_books_sccl_1/133-7057440-5158830?psc=1,Dav Pilkey,$11.58,4.6,186
Outlive: The Science and Art of Longevity,https://www.amazon.com/Outlive-Longevity-Peter-Attia-MD/dp/0593236599/ref=zg_bs_books_sccl_2/133-7057440-5158830?psc=1,Peter Attia MD,$23.38,4.5,63
How to Catch the Easter Bunny,https://www.amazon.com/Catch-Easter-Bunny-Adam-Wallace/dp/149263817X/ref=zg_bs_books_sccl_3/133-7057440-5158830?psc=1,Adam Wallace,$7.84,4.8,"7,806"
Biscuit's Pet & Play Easter: A Touch & Feel Book: An Easter And Springtime Book For Kids,https://www.amazon.com/Biscuits-Pet-Play-Easter-Touch/dp/0061128392/ref=zg_bs_books_sccl_4/133-7057440-5158830?psc=1,Alyssa Satin Capucilli,$6.87,4.8,"4,328"
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299/ref=zg_bs_books_sccl_5/133-7057440-5158830?psc=1,James Clear,$13.49,4.8,"100,922"
Little Blue Truck's Springtime: An Easter And Springtime Book For Kids,https://www.amazon.com/Little-Trucks-Springtime-Alice-Schertle/dp/0544938097/ref=zg_bs_books_sccl_6/133-7057440-5158830?psc=1,Alice Schertle,$7.31,4.8,"14,554"
It's Not Easy Being a Bunny: An Easter Book for Kids and Toddlers (Beginner Books(R)),https://www.amazon.com/Easy-Being-Bunny-Beginner-Books/dp/0394861027/ref=zg_bs_books_sccl_7/133-7057440-5158830?psc=1,Marilyn Sadler,$5.98,4.8,"17,279"
"Hippity, Hoppity, Little Bunny - Finger Puppet Board Book for Easter Basket Gifts or Stuffer Ages 0-3 (Finger Puppet Book)",https://www.amazon.com/Hippity-Hoppity-Little-Finger-Puppet/dp/1680524771/ref=zg_bs_books_sccl_8/133-7057440-5158830?psc=1,Cottage Door Press,$6.28,4.8,"4,886"
"Pete the Cat and the Easter Basket Bandit: Includes Poster, Stickers, and Easter Cards!: An Easter And Springtime Book For Kids",https://www.amazon.com/Pete-Cat-Easter-Basket-Bandit/dp/0062868373/ref=zg_bs_books_sccl_9/133-7057440-5158830?psc=1,James Dean,$6.28,4.8,49
Daisy Jones & The Six: A Novel,https://www.amazon.com/Daisy-Jones-Taylor-Jenkins-Reid/dp/1524798649/ref=zg_bs_books_sccl_10/133-7057440-5158830?psc=1,Taylor Jenkins Reid,$9.99,4.4,"52,840"
Lessons in Chemistry: A Novel,https://www.amazon.com/Lessons-Chemistry-Novel-Bonnie-Garmus/dp/038554734X/ref=zg_bs_books_sccl_11/133-7057440-5158830?psc=1,Bonnie Garmus,$17.99,4.6,"126,560"
The 48 Laws of Power,https://www.amazon.com/48-Laws-Power-Robert-Greene/dp/0140280197/ref=zg_bs_books_sccl_12/133-7057440-5158830?psc=1,Robert Greene,$13.86,4.7,"61,959"
"The Love Stories of the Bible Speak: Biblical Lessons on Romance, Friendship, and Faith (Fox News Books)",https://www.amazon.com/Love-Stories-Bible-Speak-Friendship/dp/0063226057/ref=zg_bs_books_sccl_13/133-7057440-5158830?psc=1,Shannon Bream,$20.08,5.0,5
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",https://www.amazon.com/Body-Keeps-Score-Healing-Trauma/dp/0143127748/ref=zg_bs_books_sccl_14/133-7057440-5158830?psc=1,Bessel van der Kolk M.D.,$11.40,4.8,"64,650"
It Starts with Us: A Novel (2) (It Ends with Us),https://www.amazon.com/Starts-Us-Novel-Ends/dp/1668001225/ref=zg_bs_books_sccl_15/133-7057440-5158830?psc=1,Colleen Hoover,$10.49,4.5,"100,557"
"Easter Basket Stuffers for Toddler: Dot Markers Activity Book: for Toddlers, for Kids Ages 2-4: Easter Gift Idea for Girls and Boys",https://www.amazon.com/Easter-Basket-Stuffers-Toddler-Activity/dp/B09T32G517/ref=zg_bs_books_sccl_16/133-7057440-5158830?psc=1,Kidiart Press,$7.99,4.4,103
It Ends with Us: A Novel (1),https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/dp/1501110365/ref=zg_bs_books_sccl_17/133-7057440-5158830?psc=1,Colleen Hoover,$9.95,4.7,"243,294"
The Seven Husbands of Evelyn Hugo: A Novel,https://www.amazon.com/Seven-Husbands-Evelyn-Hugo-Novel/dp/1501161938/ref=zg_bs_books_sccl_18/133-7057440-5158830?psc=1,Taylor Jenkins Reid,$9.42,4.6,"162,566"
Somebunny Loves You: A Sweet and Silly Easter Board Book for Babies and Toddlers (Punderland),https://www.amazon.com/Somebunny-Loves-Punderland-Rose-Rossner/dp/1728223431/ref=zg_bs_books_sccl_19/133-7057440-5158830?psc=1,Rose Rossner,$6.82,4.9,235
Llama Llama Easter Egg,https://www.amazon.com/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828/ref=zg_bs_books_sccl_20/133-7057440-5158830?psc=1,Anna Dewdney,$5.41,4.8,"5,295"
Easter Basket Stuffers: Danny the Farting Bunny: A Funny Read Aloud Rhyming Gift Book for Kids,https://www.amazon.com/Easter-Basket-Stuffers-Farting-Rhyming/dp/B0BW3HG2XY/ref=zg_bs_books_sccl_21/133-7057440-5158830?psc=1,Jonathan Hinsen,$9.55,4.3,46
"Try Not to Laugh Challenge, Easter Joke Book for Kids: Easter Basket Stuffer for Boys, Girls, Teens & Adults, Fun Easter Activity Book with Cute ... Easter Activities for the Whole Family!",https://www.amazon.com/Laugh-Challenge-Easter-Joke-Book/dp/1986554902/ref=zg_bs_books_sccl_22/133-7057440-5158830?psc=1,Easter Bunny Press,$7.99,4.5,"1,260"
Above Ground,https://www.amazon.com/Above-Ground-Clint-Smith/dp/0316543039/ref=zg_bs_books_sccl_23/133-7057440-5158830?psc=1,Clint Smith,$24.30,5.0,9
The Story of Easter: A Christian Easter Book for Kids (Little Golden Book),https://www.amazon.com/Story-Easter-Little-Golden-Book/dp/0399555145/ref=zg_bs_books_sccl_24/133-7057440-5158830?psc=1,Jean Miller,$4.99,4.9,"3,001"
Paint by Sticker Kids: Easter: Create 10 Pictures One Sticker at a Time!,https://www.amazon.com/Paint-Sticker-Kids-Easter-Pictures/dp/1523510420/ref=zg_bs_books_sccl_25/133-7057440-5158830?psc=1,Workman Publishing,$7.67,4.7,339
The Very Hungry Caterpillar,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_books_sccl_26/133-7057440-5158830?psc=1,Eric Carle,$6.56,4.9,"57,948"
Easter Eggstravaganza Mad Libs: World's Greatest Word Game,https://www.amazon.com/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525/ref=zg_bs_books_sccl_27/133-7057440-5158830?psc=1,Roger Price,$4.74,4.7,"2,434"
I Love You to the Moon and Back,https://www.amazon.com/I-Love-You-Moon-Back/dp/1589255518/ref=zg_bs_books_sccl_28/133-7057440-5158830?psc=1,Amelia Hepworth,$4.76,4.9,"64,245"
Verity,https://www.amazon.com/Verity-Colleen-Hoover/dp/1538724731/ref=zg_bs_books_sccl_29/133-7057440-5158830?psc=1,Colleen Hoover,$10.49,4.6,"230,719"
Miroslav Volf,https://www.amazon.com/Life-Worth-Living-Guide-Matters/dp/0593489306/ref=zg_bs_books_sccl_30/133-7057440-5158830?psc=1,Miroslav Volf,$25.99,Not Available,Not Available
