Name,URL,Author,Price,Average Rating,Number of Ratings
Educart Abhyaas 1-20 Final Bundle of NEET Mock Test Papers (for 7th May 2023 Exam),https://www.amazon.in/Educart-Abhyaas-Final-Bundle-Papers/dp/9357031987/ref=zg_bs_books_sccl_1/000-0000000-0000000?psc=1,Seep Pahuja,₹599.00,4.2,225
Atomic Habits: The life-changing million copy bestseller [Paperback] James Clear,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_books_sccl_2/000-0000000-0000000?psc=1,James Clear,₹384.00,4.6,"70,422"
The Psychology of Money,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_books_sccl_3/000-0000000-0000000?psc=1,Morgan Housel,₹127.50,4.6,"47,500"
"Ikigai: The Japanese secret to a long and happy life [Hardcover] García, Héctor and Miralles, Francesc",https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_books_sccl_4/000-0000000-0000000?psc=1,Héctor García,₹269.00,4.6,"45,589"
My First Library: Boxset of 10 Board Books for Kids,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_books_sccl_5/000-0000000-0000000?psc=1,Wonder House Books,₹399.00,4.5,"68,017"
BlackBook of English Vocabulary March 2023 by Nikhil Gupta Paperback – 22 February 2023,https://www.amazon.in/BlackBook-English-Vocabulary-Nikhil-Gupta-Paperback/dp/8195645712/ref=zg_bs_books_sccl_6/000-0000000-0000000?psc=1,Nikhil Kr Gupta,₹258.00,4.5,63
Brain Activity Book for Kids - 200+ Activities for Age 3+,https://www.amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924298/ref=zg_bs_books_sccl_7/000-0000000-0000000?psc=1,Maple Press,₹90.00,4.5,"2,981"
"Energize Your Mind: Learn the Art of Mastering Your Thoughts, Feelings and Emotions",https://www.amazon.in/Energize-Your-Mind-Mastering-Thoughts/dp/0143442287/ref=zg_bs_books_sccl_8/000-0000000-0000000?psc=1,Gaur Gopal Das,₹140.00,4.6,963
R D Sharma Mathematics Class 10 with MCQ in Mathematics - CBSE Examination 2023-2024,https://www.amazon.in/Mathematics-Class-10-Examination-2022-23/dp/B09SJ365JL/ref=zg_bs_books_sccl_9/000-0000000-0000000?psc=1,R.D. Sharma,₹590.00,4.5,"2,089"
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_books_sccl_10/000-0000000-0000000?psc=1,Sudha Murty,₹170.00,4.6,"18,478"
